defending_team,xCS_a,xCS_h,matches_a,matches_h,xCS_per_game_a,xCS_per_game_h,total_xCS,actual_cs
Arsenal,3.936147600128786,2.003888591883054,11,11,0.35783160001170783,0.18217169017118673,5.94003619201184,4
Aston_Villa,0.8697307173308039,2.0212174523301343,11,11,0.07906642884825489,0.1837470411209213,2.890948169660938,0
Bournemouth,2.1017893081917443,3.000683232196227,11,11,0.19107175529015857,0.27278938474511155,5.102472540387971,4
Brighton,2.529901591774853,3.4696023795526885,11,11,0.2299910537977139,0.3154183981411535,5.999503971327542,5
Burnley,2.845267016560214,2.8597688815582845,11,11,0.25866063786911037,0.2599789892325713,5.705035898118498,7
Chelsea,2.2673259078957777,4.496518330074434,11,11,0.20612053708143432,0.40877439364313034,6.763844237970211,5
Crystal_Palace,1.7287320045709351,3.3840029716566224,11,11,0.1571574549609941,0.30763663378696565,5.112734976227557,0
Everton,2.4573462274564712,3.451391918677155,11,11,0.22339511158695194,0.31376290169792315,5.908738146133626,6
Leicester,3.484329887680664,3.7836322286823147,11,11,0.316757262516424,0.3439665662438468,7.267962116362979,8
Liverpool,4.118584990795175,4.574072416602978,10,11,0.4118584990795175,0.41582476514572525,8.692657407398153,8
Manchester_City,3.4139314037285975,3.9632264709434195,11,11,0.3103574003389634,0.36029331554031085,7.377157874672017,0
Manchester_United,3.653013119139147,4.477198591276278,11,11,0.3320921017399225,0.4070180537523889,8.130211710415425,0
Newcastle_United,1.1514897243729927,1.8335091175272848,11,11,0.10468088403390842,0.16668264704793498,2.9849988419002775,0
Norwich,2.0697040585127184,1.613810156719751,11,11,0.18815491441024712,0.14671001424725008,3.6835142152324694,2
Sheffield_United,2.3919899248042027,3.970827593827386,11,11,0.2174536295276548,0.36098432671158054,6.362817518631589,0
Southampton,2.7294986628836586,3.105875147291589,11,11,0.2481362420803326,0.2823522861174172,5.8353738101752475,4
Tottenham,2.7388007418882414,3.710840546283195,11,11,0.24898188562620377,0.3373491405711995,6.449641288171437,2
Watford,2.7268351651123135,3.464817697186047,11,11,0.24789410591930122,0.3149834270169134,6.19165286229836,7
West_Ham,1.0710046104632909,1.258157588423775,11,10,0.09736405549666281,0.1258157588423775,2.329162198887066,0
Wolverhampton_Wanderers,3.3876440878857856,3.412479026390478,11,11,0.30796764435325324,0.310225366035498,6.800123114276264,0
